aérodynamicien aérodynamicienne 
cantinier cantinière 
cantonnier cantonnière 
canut canuse
caoutchouteur caoutchouteuse 
caoutchoutier caoutchoutière 
capilliculteur capillicultrice 
capitaine capitaine 
caporal caporale 
capucin capucine 
carbonisateur carbonisatrice 
carboniseur carboniseuse 
carburier carburière 
carburologue carburologue 
cardeur cardeuse 
cardier cardière 
cardiologue cardiologue 
caréneur caréneuse 
caricaturiste caricaturiste 
carillonneur carillonneuse 
cariste cariste 
carme carmélite
carreautier carreautière 
carreleur carreleuse 
carreur carreuse 
carrier carrière 
carrossier carrossière 
cartier cartière 
cartographe cartographe 
cartomancien cartomancienne 
cartonnier cartonnière 
cartothécaire cartothécaire 
cascadeur cascadeuse 
caséiste caséiste 
casernier casernière 
casquettier casquettière 
casserolier casserolière 
casseur casseuse 
catalogueur catalogueuse 
catcheur catcheuse 
catéchiste catéchiste 
caténairiste caténairiste 
cavalier cavalière 
caveur caveuse 
caviste caviste 
ceinturier ceinturière 
ceinturonnier ceinturonnière 
cellophaneur cellophaneuse 
cellophaniste cellophaniste 
cémenteur cémenteuse 
cendrier cendrière 
censeur censeure 
centralien centralienne 
centreur centreuse 
centrifugeur centrifugeuse 
céramiste céramiste 
céramologue céramologue 
céréaliculteur céréalicultrice 
céréalier céréalière 
certifié certifiée
chainiste chainiste
chaisier chaisière 
chalumiste chalumiste 
chamoiseur chamoiseuse 
champignonniste champignonniste 
chancelier chancelière 
chanfreineur chanfreineuse 
changeur changeuse 
chanoine chanoinesse 
chansonnier chansonnière 
chanteur chanteuse 
chantourneur chantourneuse 
chapelier chapelière 
chapiste chapiste 
charbonnier charbonnière 
charcutier charcutière 
chargé chargée 
chargeur chargeuse 
charpentier charpentière 
charron charronne 
chartreux chartreuse 
chasseur chasseuse 
chaudiériste chaudiériste 
chaudronnier chaudronnière 
chauffagiste chauffagiste 
chauffeur chauffeuse 
chausseur chausseuse 
chef chef 
cheminot cheminote 
chercheur chercheuse 
chevalier chevalière 
chevaliériste chevaliériste 
chevillard chevillarde 
chevrier chevrière 
chiffonnier chiffonnière 
chiffreur chiffreuse 
chimiste chimiste 
chiromancien chiromancienne 
chiropracteur chiropractrice 
chiropraticien chiropraticienne 
chirurgien chirurgienne 
chlorier chlorière 
chocolatier chocolatière 
choisisseur choisisseuse 
chômeur chômeuse 
chorégraphe chorégraphe 
choriste choriste 
chromalineur chromalineuse 
chromeur chromeuse 
chromiste chromiste 
chromoteur chromoteuse 
chroniqueur chroniqueuse 
chronométreur chronométreuse 
chronométrier chronométrière 
cigarier cigarière 
cimentier cimentière 
cinéaste cinéaste 
cintreur cintreuse 
cintrier cintrière 
cireur cireuse 
cisailleur cisailleuse 
ciseleur ciseleuse 
cistercien cistercienne 
citernier citernière 
civiliste civiliste 
clarinettiste clarinettiste 
classeur classeuse 
classier classière 
classologue classologue 
claveciniste claveciniste 
claviste claviste 
clerc clerc 
clicheur clicheuse 
client cliente 
climatologue climatologue 
clinicien clinicienne 
cliométricien cliométricienne 
cliométriste cliométriste 
cliveur cliveuse 
cloueur cloueuse 
clown clown
cocher cochère 
coconneur coconneuse 
codeur codeuse 
codificateur codificatrice 
codifieur codifieuse 
coffretier coffretière 
coffreur coffreuse 
cogniticien cogniticienne 
coiffeur coiffeuse 
cokier cokière 
collaborateur collaboratrice 
collecteur collectrice 
collègue collègue 
colleteur colleteuse 
colleur colleuse 
colonel colonelle 
coloriste coloriste 
colporteur colporteuse 
combattant combattante 
comédien comédienne 
comique comique 
commandant commandante 
commandeur commandeure
commentateur commentatrice 
commerçant commerçante 
commercial commerciale 
commis commise 
commissaire commissaire 
commissionnaire commissionnaire 
communal communale 
communard communarde 
communicateur communicatrice 
communicologue communicologue 
compagnon compagnonne 
compétiteur compétitrice 
compograveur compograveuse 
composeur composeuse 
compositeur compositrice 
composteur composteuse 
comptable comptable 
compteur compteuse 
comte comtesse 
concentrateur concentratrice 
concentreur concentreuse 
concepteur conceptrice 
concessionnaire concessionnaire 
conchyliculteur conchylicultrice 
concierge concierge 
conciliateur conciliatrice 
conditionneur conditionneuse 
conducteur conductrice 
conduiseur conduiseuse 
confectionneur confectionneuse 
conférencier conférencière 
confiseur confiseuse 
confiturier confiturière 
confrère consœur 
conseil conseil 
conseiller conseillère 
conservateur conservatrice 
conserveur conserveuse 
consignataire consignataire 
constructeur constructrice 
consul consule 
consultant consultante 
conteur conteuse 
contorsionniste contorsionniste 
contractuel contractuelle 
contrebassiste contrebassiste 
contremaitre contremaitre 
contremaitre contremaitresse
contrôleur contrôleuse 
convers converse 
convoyeur convoyeuse 
coopérant coopérante 
coordinateur coordinatrice 
coordonnateur coordonnatrice 
copiste copiste 
coquilleur coquilleuse 
cordier cordière 
cordonnier cordonnière 
cornettiste cornettiste 
corniste corniste 
correcteur correctrice 
correspondancier correspondancière 
correspondant correspondante 
corroyeur corroyeuse 
corsetier corsetière 
coryphée coryphée 
cosméticien cosméticienne 
cosmétologue cosmétologue 
cosmologue cosmologue 
cosmonaute cosmonaute 
costumier costumière 
coturniculteur coturnicultrice 
coucheur coucheuse 
couchiste couchiste 
couleur couleuse 
coulonnier coulonnière 
coupeur coupeuse 
coureur coureuse 
courrier courrière 
courriériste courriériste 
coursier coursière 
courtier courtière 
couseur couseuse 
coutelier coutelière 
couturier couturière 
couturniculteur couturnicultrice 
couvreur couvreuse 
créateur créatrice 
créatif créative 
crémier crémière 
crêpier crêpière 
crépisseur crépisseuse 
cressiculteur cressicultrice 
cribleur cribleuse 
crieur crieuse 
criminaliste criminaliste 
criminologiste criminologiste 
criminologue criminologue 
cristallier cristallière 
cristallographe cristallographe 
critique critique 
croissantier croissantière 
croqueur croqueuse 
croupier croupière 
crouponneur crouponneuse 
C.R.S. C.R.S. 
crustaciculteur crustacicultrice 
cryogéniste cryogéniste 
cubilotier cubilotière 
cueilleur cueilleuse 
cuiseur cuiseuse 
cuisinier cuisinière 
cuisiniste cuisiniste 
cuivreur cuivreuse 
culottier culottière 
cultivateur cultivatrice 
culturiste culturiste 
cuniculiculteur cuniculicultrice 
curateur curatrice 
cuviste cuviste 
cybernéticien cybernéticienne 
cycliste cycliste 
cylindreur cylindreuse 
cymbaliste cymbaliste 
cyndinicien cyndinicienne 
cyniculteur cynicultrice 
cytologiste cytologiste 
cytologue cytologue 
dalleur dalleuse 
damasquineur damasquineuse 
danseur danseuse 
débardeur débardeuse 
débarrasseur débarrasseuse 
débâtisseur débâtisseuse 
débitant débitante 
débiteur débiteuse 
débobineur débobineuse 
débogueur débogueuse 
débordeur débordeuse 
débosseleur débosseleuse 
déboureur déboureuse 
débroussailleur débroussailleuse 
débruteur débruteuse 
décalabreur décalabreuse 
décalqueur décalqueuse 
décapeur décapeuse 
décasteur décasteuse 
déchappeur déchappeuse 
déchargeur déchargeuse 
décideur décideuse 
déclarant déclarante 
décodeur décodeuse 
décolleteur décolleteuse 
décompteur décompteuse 
décontamineur décontamineuse 
décorateur décoratrice 
décortiqueur décortiqueuse 
découpeur découpeuse 
découvreur découvreuse 
décrasseur décrasseuse 
décrocheur décrocheuse 
dédoubleur dédoubleuse 
défendeur défenderesse 
défenseur défenseuse 
déforesteur déforesteuse 
déformeur déformeuse 
défourneur défourneuse 
dégauchisseur dégauchisseuse 
dégraisseur dégraisseuse 
dégrossisseur dégrossisseuse 
dégustateur dégustatrice 
délaineur délaineuse 
délégué déléguée 
déligneur déligneuse 
deltiste deltiste 
demandeur demandeuse
demanderesse 
démarcheur démarcheuse 
déménageur déménageuse 
démineur démineuse 
démographe démographe 
démonstrateur démonstratrice 
démonteur démonteuse 
démouleur démouleuse 
dendrochronologiste dendrochronologiste 
dendrologue dendrologue 
denteleur denteleuse 
dentelier dentelière
dentellier dentellière
dentiste dentiste 
dépanneur dépanneuse 
départeur départeuse 
dépeceur dépeceuse 
dépensier dépensière 
dépileur dépileuse 
dépolisseur dépolisseuse 
dépositaire dépositaire 
dépoteur dépoteuse 
dépouilleur dépouilleuse 
dépoussiéreur dépoussiéreuse 
député députée 
dératiseur dératiseuse 
dérayeur dérayeuse 
dermatologue dermatologue 
dérocheur dérocheuse 
dérouleur dérouleuse 
dérusheur dérusheuse
désinfecteur désinfectrice 
désinsectiseur désinsectiseuse 
désosseur désosseuse
desserveur desserveuse 
dessinateur dessinatrice 
détacheur détacheuse 
détaillant détaillante 
détecteur détectrice 
détective détective 
détenteur détentrice 
développeur développeuse 
dévideur dévideuse 
deviseur deviseuse 
diabétologue diabétologue 
diacre diaconnesse
diagnosticien diagnosticienne 
diagraphiste diagraphiste 
dialectologue dialectologue 
dialoguiste dialoguiste 
diamantaire diamantaire 
diatypiste diatypiste 
didacthécaire didacthécaire 
didacticien didacticienne 
diéséliste diéséliste 
diététicien diététicienne 
diffuseur diffuseuse 
dinandier dinandière 
diplomate diplomate 
diplômé diplômée 
directeur directrice 
dirigeant dirigeante 
disc-jockey disque jockey
discompteur discompteuse 
discothécaire discothécaire 
dispatcheur dispatcheuse 
disquaire disquaire 
distillateur distillatrice 
distributeur distributrice 
docker docker 
docteur docteur
docteur  docteure 
docteur doctoresse
doctorant doctorante
documentaliste documentaliste 
doleur doleuse 
domestique domestique 
dominicain dominicaine 
domoticien domoticienne 
dompteur dompteuse 
donneur donneuse 
doreur doreuse 
doseur doseuse 
douanier douanière 
doubleur doubleuse 
doucisseur doucisseuse 
doyen doyenne 
dragéiste dragéiste 
dragiste dragiste 
dramaturge dramaturge 
drapier drapière 
dresseur dresseuse 
droguiste droguiste 
duc duchesse
ébarbeur ébarbeuse 
ébardeur ébardeuse 
ébaucheur ébaucheuse 
ébavureur ébavureuse 
ébéniste ébéniste 
éboueur éboueuse 
écailler écaillère 
échafaudeur échafaudeuse 
échantillonneur échantillonneuse 
écharneur écharneuse 
échiniculteur échinicultrice 
échographe échographe 
éclairagiste éclairagiste 
éclateur éclateuse 
éclusier éclusière 
écologiste écologiste 
écologue écologue 
économe économe 
économiste économiste 
écorceur écorceuse 
écotoxicologue écotoxicologue 
écoutant écoutante 
écrivain écrivaine 
écuyer écuyère 
éditeur éditrice 
éditorialiste éditorialiste 
éducateur éducatrice 
effilocheur effilocheuse 
effleureur effleureuse 
égaliseur égaliseuse 
égoutier égoutière 
égreneur égreneuse 
élagueur élagueuse 
élanceur élanceuse 
élastiqueur élastiqueuse 
électeur électrice 
électricien électricienne 
électromazoutier électromazoutière 
électroménagiste électroménagiste 
électronicien électronicienne 
électroplaste électroplaste 
éleveur éleveuse 
élingueur élingueuse 
émailleur émailleuse 
emballeur emballeuse 
embaumeur embaumeuse 
embosseur embosseuse 
embouteilleur embouteilleuse 
emboutisseur emboutisseuse 
émetteur émettrice 
empailleur empailleuse 
empaqueteur empaqueteuse 
empâteur empâteuse 
empereur impératrice
empileur empileuse 
employé employée 
employeur employeuse 
empoteur empoteuse 
énarque énarque 
encadreur encadreuse 
encageur encageuse 
encaisseur encaisseuse 
encartoucheur encartoucheuse 
encasteur encasteuse 
encimenteur encimenteuse 
encodeur encodeuse 
encolleur encolleuse 
endivier endivière 
endocrinologue endocrinologue 
enducteur enductrice 
enduiseur enduiseuse 
énergéticien énergéticienne 
enfileur enfileuse 
enfourneur enfourneuse 
engazonneur engazonneuse 
englobeur englobeuse 
engraisseur engraisseuse 
enliasseur enliasseuse 
enlumineur enlumineuse 
enquêteur enquêteuse
enquêtrice
enrouleur enrouleuse 
ensacheur ensacheuse 
enseignant enseignante 
enseigne enseigne 
ensemblier ensemblière 
ensileur ensileuse 
ensimeur ensimeuse 
entomologiste entomologiste 
entraineur entraineuse 
entremétier entremétière 
entrepreneur entrepreneure
entrepositaire entrepositaire 
entringleur entringleuse 
épailleur épailleuse 
épéiste épéiste 
épépineur épépineuse 
épicier épicière 
épigraphiste épigraphiste 
épistémologiste épistémologiste 
épistémologue épistémologue 
éplucheur éplucheuse 
éprouveur éprouveuse 
épurateur épuratrice 
équarrisseur équarrisseuse 
équilibriste équilibriste 
équipementier équipementière 
équipier équipière 
ergolier ergolière 
ergonome ergonome 
ergonomiste ergonomiste 
escaliéteur escaliéteuse 
eschatologue eschatologue 
escrimeur escrimeuse 
espion espionne 
essayeur essayeuse 
essayiste essayiste 
essencier essencière 
essoreur essoreuse 
essuyeur essuyeuse 
estampeur estampeuse 
esthéticien esthéticienne 
estimateur estimatrice 
étager étagère 
étalagiste étalagiste 
étalonneur étalonneuse 
étalonnier étalonnière 
étameur étameuse 
étampeur étampeuse 
étanchéiste étanchéiste 
étancheur étancheuse 
étavillonneur étavillonneuse 
étayeur étayeuse 
étheirologue étheirologue 
ethnographe ethnographe 
ethnologue ethnologue 
éthologiste éthologiste 
éthologue éthologue 
étinceleur étinceleuse 
étiologue étiologue 
étiqueteur étiqueteuse 
étirageur étirageuse 
étireur étireuse 
étringleur étringleuse 
étudiant étudiante 
étuviste étuviste 
étymologiste étymologiste 
évaluateur évaluatrice 
évangéliste évangéliste 
évaporeur évaporeuse 
évêque évêque 
éviscérateur éviscératrice 
examinateur examinatrice 
exécuteur exécutrice 
exorciseur exorciseuse 
exorciste exorciste 
expéditeur expéditrice 
expéditionnaire expéditionnaire 
expérimentateur expérimentatrice 
expert experte 
exploitant exploitante 
exportateur exportatrice 
exprimeur exprimeuse 
externe externe 
extra extra 
extracteur extractrice 
extrudeur extrudeuse 
fabricant fabricante 
fabuliste fabuliste 
façadier façadière 
facilitateur facilitatrice 
façonneur façonneuse 
façonnier façonnière 
facteur factrice 
factotum factotum 
facturier facturière 
facturiste facturiste 
faïencier faïencière 
fakir faquir fakir faquir 
fantaisiste fantaisiste 
farinier farinière 
fendeur fendeuse 
ferblantier ferblantière 
fermentateur fermentatrice 
fermenteur fermenteuse 
fermier fermière 
ferrailleur ferrailleuse 
ferreur ferreuse 
ferronnier ferronnière 
festonneur festonneuse 
feuillagiste feuillagiste 
feuillardier feuillardière 
feuilletoniste feuilletoniste 
feutrier feutrière 
figurant figurante 
fil-de-fériste fil-de-fériste 
fileur fileuse 
fileyeur fileyeuse 
filiériste filiériste 
filigraniste filigraniste 
filtreur filtreuse 
financier financière 
fineur fineuse 
finisseur finisseuse 
fiscaliste fiscaliste 
flaconnier flaconnière 
flasheur flasheuse 
fleurettiste fleurettiste 
fleuriste fleuriste 
flexographe flexographe 
floqueur floqueuse 
floriculteur floricultrice 
fluidicien fluidicienne 
flutiste flutiste 
fonceur fonceuse 
fonctionnaire fonctionnaire 
fondé fondée 
fondeur fondeuse 
fontainier fontainière 
fontenier fontenière 
footballeur footballeuse 
forain foraine 
forestier forestière 
foreur foreuse 
forfaitiste forfaitiste 
forgeron forgeronne 
formateur formatrice 
formeur formeuse 
formier formière 
formiste formiste 
fossoyeur fossoyeuse 
fouleur fouleuse 
foulonnier foulonnière 
fournier fournière 
fournisseur fournisseuse 
fourreur fourreuse 
fourrier fourrière 
fraiseur fraiseuse 
franchiseur franchiseuse 
franciscain franciscaine 
frappeur frappeuse 
freineur freineuse 
fresquiste fresquiste 
frigoriste frigoriste 
fripier fripière 
fromager fromagère 
fumiste fumiste 
funambule funambule 
fusilier fusilière 
futurologue futurologue 
gâcheur gâcheuse 
gainier gainière 
galeriste galeriste 
galvaniseur galvaniseuse 
galvanoplaste galvanoplaste 
gambiste gambiste 
gamin gamine 
gantier gantière 
garagiste garagiste 
garçon fille 
garde garde 
gardian gardiane 
gardien gardienne 
gareur gareuse 
garnisseur garnisseuse 
gastroentérologue gastroentérologue 
gaufreur gaufreuse 
gaveur gaveuse 
gazier gazière 
gémellologue gémellologue 
gemmeur gemmeuse 
gemmologiste gemmologiste 
gemmologue gemmologue 
gendarme gendarme 
généalogiste généalogiste 
général générale 
généraliste généraliste 
généticien généticienne 
géochronologue géochronologue 
géographe géographe 
geôlier geôlière 
géologue géologue 
géomètre géomètre 
géomorphologiste géomorphologiste 
gérant gérante 
gériatre gériatre 
gérontologue gérontologue 
gestionnaire gestionnaire 
giletier giletière 
gitologue gitologue 
glaceur glaceuse 
glacielliste glacielliste 
glacier glacière 
glaciologue glaciologue 
gnomoniste gnomoniste 
goémonier goémonière 
golfeur golfeuse 
gondolier gondolière 
gouacheur gouacheuse 
goudronneur goudronneuse 
gourou gourou 
gouteur gouteuse 
gouvernant gouvernante 
gouverneur gouverneure 
gradeur gradeuse 
gradueur gradueuse 
grainetier grainetière 
grainier grainière 
graisseur graisseuse 
grammairien grammairienne 
granitiste granitiste 
graphiste graphiste 
graphologue graphologue 
gratteur gratteuse 
gravatier gravatière 
graveur graveuse 
gravillonneur gravillonneuse 
gréeur gréeuse 
greffeur greffeuse 
greffier greffière 
grenailleur grenailleuse 
griffeur griffeuse 
grignoteur grignoteuse 
grillardin grillardine 
grimpeur grimpeuse 
groom groom 
grossiste grossiste
groupiste groupiste 
grutier grutière 
guérisseur guérisseuse 
guichetier guichetière 
guide guide 
guillocheur guillocheuse 
guillotineur guillotineuse 
guimpier guimpière 
guipurier guipurière 
guitariste guitariste 
guniteur guniteuse 
gutteur gutteuse 
gymnaste gymnaste 
gynécologue gynécologue 
habilleur habilleuse 
hacheur hacheuse 
hagiographe hagiographe 
halieute halieute 
haltérophile haltérophile 
handballeur handballeuse 
harpiste harpiste 
haut haute
hautboïste hautboïste 
héliciculteur hélicicultrice 
hélicoptériste hélicoptériste 
hématologiste hématologiste 
hématologue hématologue 
hépatologue hépatologue 
héraldiste héraldiste 
herbager herbagère 
herboriste herboriste 
hercheur hercheuse
histologiste histologiste 
historien historienne 
historiographe historiographe 
hockeyeur hockeyeuse 
homéopathe homéopathe 
homme femme 
hongroyeur hongroyeuse 
horloger horlogère 
horticulteur horticultrice 
hospitalier hospitalière 
hôte hôtesse
hôtelier hôtelière 
houblonnier houblonnière 
huileur huileuse 
huilier huilière 
huissier huissière 
huitrier huitrière 
humoriste humoriste 
hydraulicien hydraulicienne 
hydrobiologiste hydrobiologiste 
hydrodynamicien hydrodynamicienne 
hydrographe hydrographe 
hydrologue hydrologue 
hygiéniste hygiéniste 
hypnotiseur hypnotiseuse 
ichtyologiste ichtyologiste 
ichtyologue ichtyologue 
iconographe iconographe 
identificateur identificatrice 
idéologue idéologue 
illuminateur illuminatrice 
illusionniste illusionniste 
illustrateur illustratrice 
ilotier ilotière 
imbricateur imbricatrice 
imitateur imitatrice 
immunologue immunologue 
implanteur implanteuse 
importateur importatrice 
imposeur imposeuse 
imprésario imprésario 
imprimeur imprimeuse 
incorporateur incorporatrice 
incrustateur incrustatrice 
indicateur indicatrice 
industriel industrielle 
infirmier infirmière 
infographe infographe 
infographiste infographiste 
informateur informatrice 
informaticien informaticienne 
infrarougiste infrarougiste 
ingénieur ingénieure
initiateur initiatrice 
injecteur injectrice 
inséminateur inséminatrice 
inspecteur inspectrice 
installateur installatrice 
instituteur institutrice 
instructeur instructrice 
instrumentiste instrumentiste 
intellectuel intellectuelle 
intendant intendante 
intérimaire intérimaire 
interlocuteur interlocutrice 
intermédiaire intermédiaire 
intermittent intermittente 
interne interne 
interniste interniste 
interprète interprète 
interrogateur interrogatrice 
intervalliste intervalliste 
intervenant intervenante 
intervieweur intervieweuse 
inventeur inventrice 
investisseur investisseuse 
iridologue iridologue 
irrigateur irrigatrice 
isolateur isolatrice 
ivoirier ivoirière 
jardinier jardinière 
jaugeur jaugeuse 
joailler joaillère 
jockey jockey 
jointeur jointeuse 
jointoyeur jointoyeuse 
jongleur jongleuse 
joueur joueuse 
journalier journalière 
journaliste journaliste 
judoka judoka 
juge juge 
junior juniore
juré jurée 
jurisconsulte jurisconsulte 
juriste juriste 
juristicien juristicienne 
karatéka karatéka 
kayakiste kayakiste 
képissier képissière 
kinésithérapeute kinésithérapeute 
kiosquaire kiosquaire 
kiwiculteur kiwicultrice 
koriste koriste 
laborant laborante 
laborantin laborantine 
laboriste laboriste 
lad lad 
lainier lainière 
laitier laitière 
lamaneur lamaneuse 
lamineur lamineuse 
lanceur lanceuse 
lancier lancière 
lanternier lanternière 
lapidaire lapidaire 
laqueur laqueuse 
largueur largueuse 
laryngologiste laryngologiste 
lavandiculteur lavandicultrice 
lavandier lavandière 
laveur laveuse 
layetier layetière 
lecteur lectrice 
légionnaire légionnaire 
législateur législatrice 
légiste légiste 
légumier légumière 
lépidoptériste lépidoptériste 
lessiveur lessiveuse 
lettreur lettreuse 
levageur levageuse 
leveur leveuse 
lexicographe lexicographe 
lexicologue lexicologue 
libelliste libelliste 
libériste libériste 
libraire libraire 
librettiste librettiste 
licencié licenciée 
licier licière 
liégeur liégeuse 
liégiste liégiste 
lieutenant lieutenante 
liftier liftière 
lignard lignarde 
ligneur ligneuse 
limonadier limonadière 
limousinant limousinante 
linger lingère 
linguiste linguiste 
linotypiste linotypiste 
liquidateur liquidatrice 
liquoriste liquoriste 
liseur liseuse 
lisseur lisseuse 
lithographe lithographe 
litigeur litigeuse 
littérateur littératrice 
livrancier livrancière 
livreur livreuse 
logisticien logisticienne 
logopède logopède 
lombriculteur lombricultrice 
lotisseur lotisseuse 
loueur loueuse 
ludothécaire ludothécaire 
lunetier lunetière 
lunetteur lunetteuse 
luthier luthière 
luthiste luthiste 
lutteur lutteuse 
machiniste machiniste 
maçon maçonne 
magasinier magasinière 
mage mage 
magicien magicienne 
magistrat magistrate 
magmatologue magmatologue 
maïeuticien maïeuticienne
maillocheur maillocheuse 
main courantier main courantière 
maintenicien maintenicienne 
maire mairesse
