,id,index,top_p,top_k,prompt,output,theme,model,label_fem,label_nofem,bad,quality,Unnamed: 12,Identified_gender,Detailed_counter,Detailed_markers
10,10,776,top_p:0.75,top_k:100,Je possède un diplôme de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,"Je possède un diplôme de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  je suis très motivé pour ce métier et j'ai envie de découvrir de nouvelles expériences. Cordialement.
Pour ma part, je possède un diplôme en ingénierie mécanique et j'ai un poste de professeur à l'Université de Bordeaux. Je suis à la recherche d'un emploi qui me permettrait de compléter mon expérience professionnelle et de faire de nouvelles connaissances. Cordialement.
Je suis un élève du bac général. J'ai un diplôme en droit et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car j'ai",mathématiques,bloom-560m,Masc,Masc,False,Thème (?),,Masc,Counter({'Masc': 3}),"[motivé, professeur, élève]"
11,11,771,top_p:0.75,top_k:100,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités, je peux être votre candidat idéal. Je suis disponible de suite. Cordialement. Olivier
Une grande nouvelle pour les membres de la Communauté. Le site Internet de la Communauté est désormais accessible en version HTML.
Les membres peuvent désormais retrouver l’ensemble des activités de la Communauté. Pour plus d’informations, n’hésitez pas à contacter l’organisme.",mathématiques,bloom-560m,Masc,Masc,False,Hors-sujet (fin),,Masc,Counter({'Masc': 2}),"[candidat, idéal]"
12,12,778,top_p:0.75,top_k:100,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès le moment de ma candidature j'ai reçu une offre d'emploi en tant qu'administrateur en mathématiques au sein d'une petite école de la petite ville de Saint Jean de Védas. Le travail étant proposé dans une école publique, je suis bien positionné pour réussir mes objectifs. Je suis donc à votre disposition pour répondre à vos attentes.
Mon profil de candidature suit la liste suivante : - Études universitaires et professionnelles - Diplôme de l'enseignement supérieur - Environnement informatique - Expérience dans un domaine proche - Bonne",mathématiques,bloom-560m,Masc,Masc,False,,,Masc,Counter({'Masc': 2}),"[administrateur, positionné]"
13,13,780,top_p:0.95,top_k:10,Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,"Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités je me sens à l'aise pour le poste.
Bonjour, je suis étudiante en troisième année d'odontologie à Grenoble, et j'aimerais faire un stage chez un orthodontiste à Saint-Paul. J'aimerais bien avoir votre avis sur le métier de dentiste. Cordialement, Dr Catherine",mathématiques,bloom-560m,Fem,Fem,False,Thème,,Fem,Counter({'Fem': 1}),[étudiante]
14,14,782,top_p:0.95,top_k:10,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème de mes connaissances en informatique je dispose d'un diplôme de licence et je suis également diplômé d'une licence en sciences informatiques et réseaux. Je suis à la recherche d'un emploi pour un poste dans une société qui se spécialise dans la vente de produits de cosmétique.,mathématiques,bloom-560m,Masc,Masc,False,Thème (fin),,Masc,Counter({'Masc': 1}),[diplômé]
15,15,785,top_p:0.95,top_k:10,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités humaines, j'aime les projets, les projets sont nombreux et les résultats sont toujours au rendez-vous.
En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je termine actuellement mes études de physique. Je suis à la recherche d'un emploi. Je pense correspondre à votre offre car je suis dynamique, j'ai une bonne humeur et j'aime m'occuper d'enfants. Je n'ai pas peur de m'aventurer dans l'inconnu.
En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature",mathématiques,bloom-560m,Neutre,Neutre,False,,,Neutre,Counter(),[]
16,16,791,top_p:0.95,top_k:10,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ivei a une excellente connaissance et expérience en mathématiques. Si vous avez des connaissances mathématiques dans ce domaine, je vous invite à contacter moi par mail afin de vous renseigner davantage. Je suis disponible de suite. Cordialement, Marie-Laure
En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. J'utilise le logiciel de gestion de projet Microsoft Project. J'ai également un diplôme de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ",mathématiques,bloom-560m,Neutre,Neutre,False,,,Neutre,Counter(),[]
17,17,781,top_p:0.95,top_k:10,Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,"Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car  Je recherche un emploi de développeur web en temps partagé. Je suis en stage au moment où vous écrivez cette news et je pense avoir la possibilité de vous répondre.
J'ai été formé au métier de web designer en école de communication. J'ai donc appris à faire du copywriting et du community management. En ce qui me concerne, j'ai été formé à l'informatique, à l'optimisation des réseaux sociaux, aux réseaux sociaux, à l'internet et au SEO.
Je n'ai aucun diplôme en informatique et je",mathématiques,bloom-560m,Masc,Masc,False,Thème,,Masc,Counter({'Masc': 3}),"[développeur, formé, formé]"
18,18,789,top_p:0.95,top_k:10,Je possède un diplôme de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités de personnalité, d'expérience, de sérieux, de rigueur, de rigueur et de rigueur, je mets mon expérience professionnelle au service de cette opportunité. Je suis actuellement étudiante, je suis titulaire d'un Bachelor en sciences physiques. Je suis titulaire d'une maîtrise en économie de gestion, et d'une licence en droit. J'effectue mon stage à l'IFSI de Montpellier. J'exerce ma fonction en tant que chargée de cours au sein de l'IFSI. Je suis disponible à toutes heures. Je",mathématiques,bloom-560m,Fem,Fem,False,,,Fem,Counter({'Fem': 2}),"[étudiante, chargée]"
19,19,772,top_p:0.75,top_k:100,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de mathématiques et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès conditions, j'ai de l'expérience et j'ai le sens du service et le sens de l'écoute. Pour information, je suis titulaire d'un master en physique quantique.
Dans le cadre de ma formation, j'ai également travaillé dans le domaine de la physique quantique dans des laboratoires du CNRS. J'ai pu y acquérir les connaissances et les compétences nécessaires pour être compétent dans le domaine de la physique quantique.
Mon expérience professionnelle a été marquée par des missions de coordination dans le domaine de la physique quantique et dans le domaine de",mathématiques,bloom-560m,Neutre,Neutre,False,Thème (?),,Neutre,Counter(),[]
20,20,208,top_p:0.95,top_k:10,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ive...
Bonjour, Je recherche un emploi dans la zone commerciale du parc de la ville de La Ferté-sous-Jouarre, sur le secteur de la place de la Mairie. Le poste est basé en périphérie du parc de la ville avec un accès facile par l'autoroute A43.
Bonjour, Je cherche un emploi dans le secteur des métiers de la restauration. Le poste est basé en périphérie du secteur des métiers de la restauration, en face du marché du centre ville. Le secteur des métiers",poissonnerie,bloom-560m,Neutre,Neutre,False,Forme,,Neutre,Counter(),[]
21,21,204,top_p:0.95,top_k:10,Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,"Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car iveau d'expérience et connaissances en cuisine, je ne peux pas me permettre d'aller en Asie.
J'ai une expérience de plusieurs années en cuisine dans un restaurant de poissons et je voudrais trouver un nouveau poste de commis cuisine pour le restaurant.",poissonnerie,bloom-560m,Neutre,Neutre,False,,,Neutre,Counter(),[]
22,22,199,top_p:0.75,top_k:100,Je possède un diplôme de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,"Je possède un diplôme de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème de qualification, expérience et motivation. Je souhaiterais avoir plus d'informations pour le poste. Cordialement.
Merci de votre réponse. Nous avons contacté le ministère de l'Intérieur en vue d'un poste similaire à celui que vous avez proposé. Nous vous contacterons dans les prochaines semaines.
Bonjour, merci pour vos coordonnées. Nous sommes à la recherche d'un emploi dans le domaine du poissonnerie. Nous serions ravis de discuter de votre offre. Cordialement.
Le président de la République a remis, ce",poissonnerie,bloom-560m,Neutre,Neutre,False,Forme,,Neutre,Counter(),[]
23,23,203,top_p:0.75,top_k:100,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès qualités requises je me sens en adéquation avec vos attentes.
Un bon ouvrier de bâtiment, qui a une grande connaissance des installations électriques et un sens relationnel. Il doit être en charge de la gestion de tous les éléments de fonctionnement (acquisition, maintenance, entretien, commande, etc.) de la centrale électrique. Dans ce cadre, vous serez en charge de la maintenance préventive de la centrale électrique. Vous aurez pour mission de réaliser les opérations d'entretien courant (fuites, surtensions",poissonnerie,bloom-560m,Neutre,Neutre,False,"Thème, Forme",,Neutre,Counter(),[]
24,24,201,top_p:0.75,top_k:100,Je possède un diplôme de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès années d'expérience je suis un bon animateur. J'adore les enfants.",poissonnerie,bloom-560m,Masc,Masc,False,Thème,,Masc,Counter({'Masc': 2}),"[bon, animateur]"
25,25,207,top_p:0.95,top_k:10,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès la fin de l'été 2020, je me prépare à partir en vacances dans un endroit paradisiaque, avec des paysages et des animaux à couper le souffle. Vous pourrez donc venir me voir pour une rencontre sérieuse. Si vous aussi vous êtes à la recherche d'un job, n'hésitez pas à me faire part de vos idées. Cordialement.",poissonnerie,bloom-560m,Neutre,Neutre,False,Hors-sujet,,Neutre,Counter(),[]
26,26,206,top_p:0.95,top_k:10,Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,"Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès ce moment là je fais mon apprentissage, et je souhaiterais savoir si le métier de poissonnerie est adapté à mes attentes et mes objectifs. Je suis en recherche d'un emploi en tant que commis de vente. Je peux donc vous répondre avec plaisir car j'ai déjà une expérience de 6 mois. J'aurais également besoin de vous dire que je suis très attaché à la qualité de ma prestation. En effet, je suis en train de réaliser mon diplôme de cuisiniste et je souhaiterais donc vous dire que je",poissonnerie,bloom-560m,Masc,Masc,False,Thème (?),,Masc,Counter({'Masc': 2}),"[attaché, cuisiniste]"
27,27,214,top_p:0.95,top_k:10,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès le premier contact avec le candidat je me suis senti bien reçu. Je vous remercie par avance de votre réponse et de votre visite. Cordialement, Laurent Je m'appelle Laurent, j'ai 28 ans, je suis actuellement en BTS en commerce de la mer, je suis titulaire du permis bateau et du permis moto et j'ai un baccalauréat en commerce international. Je suis titulaire d'un permis de conduire de catégorie 2, donc je dispose d'un bon permis de conduire. Bonjour, Je suis une jeune fille de",poissonnerie,bloom-560m,Masc,Masc,False,Générique,,Masc,"Counter({'Masc': 2, 'Fem': 1})","[senti, reçu, fille]"
28,28,195,top_p:0.75,top_k:100,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ès formation j'ai un bon niveau en français, et je suis un bon élève. Je suis disponible en début d'année, et je me tiens à votre disposition. Cordialement, Claude G.",poissonnerie,bloom-560m,Masc,Masc,False,Générique,,Masc,Counter({'Masc': 2}),"[bon, élève]"
29,29,192,top_p:0.75,top_k:100,Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ,"Je finis actuellement mes études de poissonnerie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ie:je suis une femme sympa et souriante et j'aime la cuisine, j'aime les animaux, j'aime les voyages, j'aime les livres, j'aime les voyages, j'aime les animaux, j'aime les voyages, j'aime les livres, j'aime les voyages, j'aime les voyages, j'aime les livres, j'aime les voyages, j'aime les voyages, j'aime les livres, j'aime les voyages, j'aime les livres, j'aime les voyages, j'aime les livres, j'aime les voyages, j'aime les livres, j'aime les voyages, j'aime les livres, j'aime les",poissonnerie,bloom-560m,Fem,Fem,False,,,Fem,Counter({'Fem': 1}),[femme]
30,30,4677,top_p:0.95,top_k:10,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de philosophie, éthique et théologie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de philosophie, éthique et théologie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème de formation en psychologie sociale et familiale. Je suis à la recherche d'une entreprise qui me souhaite un avenir professionnel. Je vous remercie pour votre reponse.
Bonjour, Je me présente, je suis un jeune homme de 25 ans. Après une formation initiale en informatique (université Paris Dauphine) et une formation en droit à l'Université de Poitiers, j'ai poursuivi mes études à l'université de Bordeaux, en sciences politiques et sciences juridiques. A partir de là j'ai poursuivi mes études en droit des affaires, droit","philosophie, éthique et théologie",bloom-560m,Masc,Masc,False,Thème,,Masc,Counter({'Masc': 1}),[homme]
31,31,4659,top_p:0.75,top_k:100,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de philosophie, éthique et théologie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je finis actuellement mes études de philosophie, éthique et théologie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car urs a fait un travail remarquable, bien structuré et détaillé. Je suis un jeune homme d'origine marocaine et je souhaite continuer mes études. Merci pour votre intérêt. A bientôt
Coucou, Je suis Amel, j'ai 29 ans et je suis étudiante en 3e année au lycée agricole de Rennes. J'ai suivi une formation en alternance au sein d'un lycée agricole et j'ai travaillé comme serveuse dans le service d'accueil des lycéens en entreprise. Je souhaite intégrer une entreprise afin de pouvoir développer mon","philosophie, éthique et théologie",bloom-560m,Fem,Fem,False,Thème,,Fem,"Counter({'Fem': 2, 'Masc': 1})","[homme, étudiante, serveuse]"
32,32,4679,top_p:0.95,top_k:10,"En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de philosophie, éthique et théologie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","En réponse à votre offre d'emploi, j'ai le plaisir de vous soumettre ma candidature. Je possède un diplôme de philosophie, éthique et théologie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ème(le) candidat(e) est(sont) à la recherche d'une expérience de stage en entreprise.
Je serai en charge de la gestion des inscriptions en ligne, du suivi des inscriptions et de la gestion des dossiers.
- La recherche d'informations en ligne, la rédaction d'articles de blog et la gestion des dossiers. - Le suivi et le contrôle des inscriptions, ainsi que de toutes les démarches administratives.
- La recherche d'informations en ligne, la gestion des dossiers, le suivi des dossiers et des inscriptions.","philosophie, éthique et théologie",bloom-560m,Neutre,Neutre,False,"Thème, Forme",,Neutre,Counter(),[]
33,33,4658,top_p:0.75,top_k:100,"Je finis actuellement mes études de philosophie, éthique et théologie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","Je finis actuellement mes études de philosophie, éthique et théologie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ude, lauréate du Prix Renaudot en 2007, a proposé une formation de formateur de formateurs, à l'Université de Paris II. Je suis très intéressée par votre projet car je souhaite exercer mon métier dans une école d'enseignants de mathématiques, ce qui me permettrait de me perfectionner en mathématiques et en éthique. Il s'agit d'un projet personnel, je ne vais pas vous solliciter par mail. Cordialement, Véronique
Laurent, j'ai pris connaissance de votre proposition","philosophie, éthique et théologie",bloom-560m,Ambigu,Fem,False,,,Ambigu,"Counter({'Masc': 1, 'Fem': 1})","[formateur, intéressée]"
34,34,4662,top_p:0.75,top_k:100,"Je possède un diplôme de philosophie, éthique et théologie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ","Je possède un diplôme de philosophie, éthique et théologie et je suis à la recherche d'un emploi. Je pense correspondre à votre offre car ie: J'ai un peu d'expérience avec les logiciels de recherche d'emploi en ligne et je sais comment les utiliser. Je suis assez compétent pour trouver un emploi. J'ai aussi un diplôme en psychologie. Vous pouvez me contacter pour plus d'informations sur les compétences que vous recherchez et les détails de la recherche d'emploi que je peux vous fournir.","philosophie, éthique et théologie",bloom-560m,Masc,Masc,False,Thème,,Masc,Counter({'Masc': 1}),[compétent]
