theme,gap,neutre
"gestion et mise à disposition de ressources documentaires, conservation des archives",62.5,37.5
biochimie de l'eau et de l'environnement,62.5,20.8
personnel de cuisine,60.900000000000006,30.4
cuisine,60.900000000000006,30.4
arts du cirque et arts visuels,60.900000000000006,30.4
animation de loisirs auprès d'enfants ou d'adolescents,60.900000000000006,17.4
journalisme et communication,60.89999999999999,21.7
philosophie du droit,59.1,13.6
peinture industrielle,59.1,31.8
littérature et philosophie,58.400000000000006,25.0
"langues étrangères appliquées au tourisme, au commerce international, aux affaires, à la documentation",58.400000000000006,20.8
costume et habillage spectacle,58.400000000000006,16.7
éducation de jeunes enfants,58.3,16.7
coiffure,58.3,8.3
biochimie des produits alimentaires,58.3,33.3
art dramatique,57.10000000000001,14.3
arts appliqués à la communication et à l'audiovisuel,56.6,34.8
droit de l'environnement,56.5,21.7
management et ingénierie d'affaires,55.0,30.0
réalisation d'objets artistiques et fonctionnels en verre,54.2,20.8
marketing,54.2,12.5
"comptabilité, gestion",54.2,20.8
travail social,54.099999999999994,8.3
sociologie et travail social,52.2,39.1
"pâtisserie,confiserie,chocolaterie et glacerie",52.2,21.7
arts plastiques,52.2,21.7
psychologie de la santé,52.199999999999996,13.0
sciences sociales,50.0,33.3
biopharmacologie,50.0,27.3
interprétariat et traduction,47.8,30.4
direction de grande entreprise ou d'établissement public,47.4,52.6
communication,47.300000000000004,31.6
stylisme,45.8,20.8
orthophonie,43.5,17.4
aide en puériculture,43.5,4.3
"ressources humaines, gestion de l'emploi",42.8,23.8
création textile,41.7,12.5
soins infirmiers spécialisés en anesthésie,41.599999999999994,16.7
direction des centres de loisirs ou culturels,40.9,31.8
secrétariat et assistanat médical ou médico-social,40.0,10.0
retouches en habillement,39.1,21.7
"traduction,interprétariat",36.400000000000006,18.2
aide et médiation judiciaire,33.400000000000006,20.8
toilettage des animaux,33.3,25.0
accompagnement et médiation familiale,30.4,13.0
diététique,26.1,21.7
danse,24.999999999999996,29.2
mannequinat et pose artistique,21.699999999999996,21.7
"dentellerie, broderie",21.699999999999996,21.7
soins infirmiers spécialisés en puériculture,20.900000000000002,33.3
"traduction, interprétariat",17.4,21.7
soins infirmiers généralistes,0.0,19.0
secrétariat comptable,-22.7,18.2
