,I1302,Installation et maintenance d'automatismes
,I1305,Installation et maintenance électronique
,I1310,Maintenance mécanique industrielle
,I1502,Intervention en milieu subaquatique
,I1503,Intervention en milieux et produits nocifs
,I1602,Maintenance d'aéronefs
,I1604,Mécanique automobile et entretien de véhicules
,I1605,Mécanique de marine
,K1701,Personnel de la Défense
,K1702,Direction de la sécurité civile et des secours
,K1703,Direction opérationnelle de la défense
,K1704,Management de la sécurité publique
,K1705,Sécurité civile et secours
,K1706,Sécurité publique
,M1807,Exploitation de systèmes de communication et de commandement
,M1808,Information géographique
,M1809,Information météorologique
,N2102,Pilotage et navigation technique aérienne
,N2202,Contrôle de la navigation aérienne
,N2203,Exploitation des pistes aéroportuaires
,N3101,Encadrement de la navigation maritime
,N3102,Equipage de la navigation maritime
,N4101,Conduite de transport de marchandises sur longue distance
,,
,3,Métiers du patrimoine et de la restauration d'oeuvres d'art
,A1204,Protection du patrimoine naturel
,B1101,Création en arts plastiques
,B1201,Réalisation d'objets décoratifs et utilitaires en céramique et matériaux de synthèse
,B1302,Décoration d'objets d'art et artisanaux
,B1402,Reliure et restauration de livres et archives
,B1501,Fabrication et réparation d'instruments de musique
,B1601,Métallerie d'art
,B1602,Réalisation d'objets artistiques et fonctionnels en verre
,B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie"
,B1701,Conservation et reconstitution d'espèces animales
,B1804,Réalisation d'ouvrages d'art en fils
,B1806,Tapisserie - décoration en ameublement
,D1201,"Achat vente d'objets d'art, anciens ou d'occasion"
,F1101,Architecture du BTP et du paysage
,F1501,Montage de structures et de charpentes bois
,F1601,"Application et décoration en plâtre, stuc et staff"
,F1610,Pose et restauration de couvertures
,F1612,Taille et décoration de pierres
,G1102,Promotion du tourisme local
,G1201,"Accompagnement de voyages, d'activités culturelles ou sportives"
,G1202,Animation d'activités culturelles ou ludiques
,H2206,Réalisation de menuiserie bois et tonnellerie
,H2207,Réalisation de meubles en bois
,H2208,Réalisation d'ouvrages décoratifs en bois
,I1101,Direction et ingénierie en entretien infrastructure et bâti
,K1601,Gestion de l'information et de la documentation
,K1602,Gestion de patrimoine culturel
,K2108,Enseignement supérieur
,K2401,Recherche en sciences de l'homme et de la société
,K2402,"Recherche en sciences de l'univers, de la matière et du vivant"
,,
,4,Métiers de l'intelligence économique
,A1303,Ingénierie en agriculture et environnement naturel
,D1402,Relation commerciale grands comptes et entreprises
,D1406,Management en force de vente
,D1407,Relation technico-commerciale
,E1101,Animation de site multimédia
,E1103,Communication
,E1106,Journalisme et information média
,F1106,Ingénierie et études du BTP
,H1102,Management et ingénierie d'affaires
,H1206,"Management et ingénierie études, recherche et développement industriel"
,H1210,"Intervention technique en études, recherche et développement"
,H1302,Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels
,K1401,Conception et pilotage de la politique des pouvoirs publics
,K1404,Mise en oeuvre et pilotage de la politique des pouvoirs publics
,K1405,Représentation de l'Etat sur le territoire national ou international
,K1601,Gestion de l'information et de la documentation
,K1704,Management de la sécurité publique
,K1903,Défense et conseil juridique
,K2402,"Recherche en sciences de l'univers, de la matière et du vivant"
,K2502,Management de sécurité privée
,M1101,Achats
,M1102,Direction des achats
,M1201,Analyse et ingénierie financière
,M1204,Contrôle de gestion
,M1301,Direction de grande entreprise ou d'établissement public
,M1302,Direction de petite ou moyenne entreprise
,M1402,Conseil en organisation et management d'entreprise
,M1403,Études et prospectives socio-économiques
,M1503,Management des ressources humaines
,M1703,Management et gestion de produit
,M1705,Marketing
,M1706,Promotion des ventes
,M1707,Stratégie commerciale
,M1801,Administration de systèmes d'information
,M1802,Expertise et support en systèmes d'information
,M1803,Direction des systèmes d'information
,M1804,Études et développement de réseaux de télécoms
,M1805,Études et développement informatique
,M1806,Conseil et maîtrise d'ouvrage en systèmes d'information
,,
,5,Métiers de la recherche
,A1303,Ingénierie en agriculture et environnement naturel
,F1105,Études géologiques
,H1206,"Management et ingénierie études, recherche et développement industriel"
,H1210,"Intervention technique en études, recherche et développement"
,K1602,Gestion de patrimoine culturel
,K2108,Enseignement supérieur
,K2401,Recherche en sciences de l'homme et de la société
,K2402,"Recherche en sciences de l'univers, de la matière et du vivant"
,M1808,Information géographique
,M1809,Information météorologique
,,
,6,"Métiers de la mer, du nautisme et de la construction navale"
,A1204,Protection du patrimoine naturel
,A1301,Conseil et assistance technique en agriculture
,A1303,Ingénierie en agriculture et environnement naturel
,A1404,Aquaculture
,A1406,Encadrement équipage de la pêche
,A1415,Equipage de la pêche
,A1417,Saliculture
,B1802,Réalisation d'articles en cuir et matériaux souples (hors vêtement)
,D1105,Poissonnerie
,D1211,Vente en articles de sport et loisirs
,D1404,Relation commerciale en vente de véhicules
,F1105,Études géologiques
,F1203,Direction et ingénierie d'exploitation de gisements et de carrières
,F1301,Conduite de grue
,F1401,Extraction liquide et gazeuse
,F1503,Réalisation - installation d'ossatures bois
,F1604,Montage d'agencements
,G1204,Éducation en activités sportives
,H1206,"Management et ingénierie études, recherche et développement industriel"
,H2902,Chaudronnerie - tôlerie
,H2911,Réalisation de structures métalliques
,H2913,Soudage manuel
,H2914,Réalisation et montage en tuyauterie
,H3203,Fabrication de pièces en matériaux composites
,H3404,Peinture industrielle
,I1309,Maintenance électrique
,I1502,Intervention en milieu subaquatique
,I1601,Installation et maintenance en nautisme
,I1605,Mécanique de marine
,I1607,"Réparation de cycles, motocycles et motoculteurs de loisirs"
,K1702,Direction de la sécurité civile et des secours
,K1704,Management de la sécurité publique
,K1705,Sécurité civile et secours
,K1706,Sécurité publique
,K2402,"Recherche en sciences de l'univers, de la matière et du vivant"
,L1401,Sportif professionnel
,M1807,Exploitation de systèmes de communication et de commandement
,M1808,Information géographique
,M1809,Information météorologique
,N3101,Encadrement de la navigation maritime
,N3102,Equipage de la navigation maritime
,N3103,Navigation fluviale
,N3201,Exploitation des opérations portuaires et du transport maritime
,N3202,Exploitation du transport fluvial
,N3203,Manutention portuaire
,,
,7,Métiers de l'aéronautique
,H1101,Assistance et support technique client
,H1203,Conception et dessin produits mécaniques
,H1206,"Management et ingénierie études, recherche et développement industriel"
,H1207,Rédaction technique
,H1209,Intervention technique en études et développement électronique
,H1401,Management et ingénierie gestion industrielle et logistique
,H1402,Management et ingénierie méthodes et industrialisation
,H1403,Intervention technique en gestion industrielle et logistique
,H1404,Intervention technique en méthodes et industrialisation
,H1502,Management et ingénierie qualité industrielle
,H1506,Intervention technique qualité en mécanique et travail des métaux
,H2502,Management et ingénierie de production
,H2602,Câblage électrique et électromécanique
,H2901,Ajustement et montage de fabrication
,H2902,Chaudronnerie - tôlerie
,H2903,Conduite d'équipement d'usinage
,H2905,Conduite d'équipement de formage et découpage des matériaux
,H2907,Conduite d'installation de production des métaux
,H3203,Fabrication de pièces en matériaux composites
,H3402,Conduite de traitement par dépôt de surface
,H3404,Peinture industrielle
,I1102,Management et ingénierie de maintenance industrielle
,I1602,Maintenance d'aéronefs
,K2503,Sécurité et surveillance privées
,M1101,Achats
,M1805,Études et développement informatique
,N2101,Navigation commerciale aérienne
,N2102,Pilotage et navigation technique aérienne
,N2201,Personnel d'escale aéroportuaire
,N2202,Contrôle de la navigation aérienne
,N2203,Exploitation des pistes aéroportuaires
,N2204,Préparation des vols
,N2205,Direction d'escale et exploitation aéroportuaire
,,
,8,Métiers de la sécurité publique et privée
,F1204,Qualité Sécurité Environnement et protection santé du BTP
,H1302,Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels
,H1303,Intervention technique en Hygiène Sécurité Environnement -HSE- industriel
,I1202,Entretien et surveillance du tracé routier
,K1702,Direction de la sécurité civile et des secours
,K1704,Management de la sécurité publique
,K1705,Sécurité civile et secours
,K1706,Sécurité publique
,K1707,Surveillance municipale
,K2501,Gardiennage de locaux
,K2502,Management de sécurité privée
,K2503,Sécurité et surveillance privées
,,
,9,Métiers du multimédia
,E1101,Animation de site multimédia
,E1103,Communication
,E1104,Conception de contenus multimédias
,E1106,Journalisme et information média
,E1205,Réalisation de contenus multimédias
,E1401,Développement et promotion publicitaire
,E1402,Élaboration de plan média
,G1202,Animation d'activités culturelles ou ludiques
,K1601,Gestion de l'information et de la documentation
,L1510,Films d'animation et effets spéciaux
,M1703,Management et gestion de produit
,M1705,Marketing
,M1801,Administration de systèmes d'information
,M1802,Expertise et support en systèmes d'information
,M1805,Études et développement informatique
,M1806,Conseil et maîtrise d'ouvrage en systèmes d'information
,M1810,Production et exploitation de systèmes d'information
,,
,10,Métiers de l'humanitaire (hors santé et tertiaire)
,A1301,Conseil et assistance technique en agriculture
,A1303,Ingénierie en agriculture et environnement naturel
,C1202,Analyse de crédits et risques bancaires
,E1103,Communication
,F1101,Architecture du BTP et du paysage
,F1106,Ingénierie et études du BTP
,F1201,Conduite de travaux du BTP et de travaux paysagers
,K1205,Information sociale
,K1701,Personnel de la Défense
,K1702,Direction de la sécurité civile et des secours
,K1705,Sécurité civile et secours
,K1802,Développement local
,K1903,Défense et conseil juridique
,K2106,Enseignement des écoles
,K2301,Distribution et assainissement d'eau
,M1205,Direction administrative et financière
,M1207,Trésorerie et financement
,M1705,Marketing
,N1103,Magasinage et préparation de commandes
,N1201,Affrètement transport
,N1202,Gestion des opérations de circulation internationale des marchandises
,N1301,Conception et organisation de la chaîne logistique
,N1302,Direction de site logistique
,N1303,Intervention technique d'exploitation logistique
,N4101,Conduite de transport de marchandises sur longue distance
,,
,11,Métiers du nucléaire
,F1204,Qualité Sécurité Environnement et protection santé du BTP
,F1502,Montage de structures métalliques
,F1605,Montage de réseaux électriques et télécoms
,F1613,Travaux d'étanchéité et d'isolation
,H1102,Management et ingénierie d'affaires
,H1302,Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels
,H1303,Intervention technique en Hygiène Sécurité Environnement -HSE- industriel
,H1501,Direction de laboratoire d'analyse industrielle
,H1502,Management et ingénierie qualité industrielle
,H1503,Intervention technique en laboratoire d'analyse industrielle
,H1506,Intervention technique qualité en mécanique et travail des métaux
,H2701,Pilotage d'installation énergétique et pétrochimique
,H2902,Chaudronnerie - tôlerie
,H2913,Soudage manuel
,H2914,Réalisation et montage en tuyauterie
,I1101,Direction et ingénierie en entretien infrastructure et bâti
,I1302,Installation et maintenance d'automatismes
,I1304,Installation et maintenance d'équipements industriels et d'exploitation
,I1305,Installation et maintenance électronique
,I1309,Maintenance électrique
,I1310,Maintenance mécanique industrielle
,I1501,Intervention en grande hauteur
,I1502,Intervention en milieu subaquatique
,I1503,Intervention en milieux et produits nocifs
,,
,12,Métiers auprès des enfants
,G1202,Animation d'activités culturelles ou ludiques
,G1203,Animation de loisirs auprès d'enfants ou d'adolescents
,G1204,Éducation en activités sportives
,G1205,Personnel d'attractions ou de structures de loisirs
,J1304,Aide en puériculture
,J1507,Soins infirmiers spécialisés en puériculture
,K1202,Éducation de jeunes enfants
,K1206,Intervention socioculturelle
,K1207,Intervention socioéducative
,K1303,Assistance auprès d'enfants
,K1601,Gestion de l'information et de la documentation
,K2104,Éducation et surveillance au sein d'établissements d'enseignement
,K2105,Enseignement artistique
,K2106,Enseignement des écoles
,,
,13,"Métiers saisonniers, de vacances / Jobs d'été"
,A1401,Aide agricole de production fruitière ou viticole
,A1402,Aide agricole de production légumière ou végétale
,A1403,Aide d'élevage agricole et aquacole
,D1106,Vente en alimentation
,D1203,Hydrothérapie
,D1204,Location de véhicules ou de matériel de loisirs
,D1211,Vente en articles de sport et loisirs
,D1501,Animation de vente
,D1505,Personnel de caisse
,D1507,Mise en rayon libre-service
,G1101,Accueil touristique
,G1201,"Accompagnement de voyages, d'activités culturelles ou sportives"
,G1202,Animation d'activités culturelles ou ludiques
,G1203,Animation de loisirs auprès d'enfants ou d'adolescents
,G1204,Éducation en activités sportives
,G1205,Personnel d'attractions ou de structures de loisirs
,G1206,Personnel technique des jeux
,G1403,Gestion de structure de loisirs ou d'hébergement touristique
,G1501,Personnel d'étage
,G1603,Personnel polyvalent en restauration
,G1605,Plonge en restauration
,G1702,Personnel du hall
,G1801,"Café, bar brasserie"
,G1803,Service en restauration
,K1302,Assistance auprès d'adultes
,K1303,Assistance auprès d'enfants
,K1705,Sécurité civile et secours
,L1203,Art dramatique
,M1601,Accueil et renseignements
,N4102,Conduite de transport de particuliers
,N4104,Courses et livraisons express
,N4402,Exploitation et manoeuvre des remontées mécaniques
,,
,14,Métiers des services à la personne à domicile
,A1203,Aménagement et entretien des espaces verts
,A1501,Aide aux soins animaux
,A1503,Toilettage des animaux
,D1202,Coiffure
,D1208,Soins esthétiques et corporels
,E1102,"Ecriture d'ouvrages, de livres"
,E1108,"Traduction, interprétariat"
,G1203,Animation de loisirs auprès d'enfants ou d'adolescents
,G1204,Éducation en activités sportives
,G1602,Personnel de cuisine
,I1203,Maintenance des bâtiments et des locaux
,I1305,Installation et maintenance électronique
,I1401,Maintenance informatique et bureautique
,J1402,Diététique
,J1403,Ergothérapie
,J1404,Kinésithérapie
,J1409,Pédicurie et podologie
,J1412,Rééducation en psychomotricité
,J1501,"Soins d'hygiène, de confort du patient"
,J1506,Soins infirmiers généralistes
,K1101,Accompagnement et médiation familiale
,K1103,Développement personnel et bien-être de la personne
,K1201,Action sociale
,K1301,Accompagnement médicosocial
,K1302,Assistance auprès d'adultes
,K1303,Assistance auprès d'enfants
,K1304,Services domestiques
,K1305,Intervention sociale et familiale
,K2106,Enseignement des écoles
,K2107,Enseignement général du second degré
,K2501,Gardiennage de locaux
,K2503,Sécurité et surveillance privées
,K2602,Conseil en services funéraires
,K2603,Thanatopraxie
,L1101,Animation musicale et scénique
,L1204,Arts du cirque et arts visuels
,M1602,Opérations administratives
,M1607,Secrétariat
,N4102,Conduite de transport de particuliers
,N4105,Conduite et livraison par tournées sur courte distance
,,
,15,Métiers du sport et autour du sport
,D1203,Hydrothérapie
,D1211,Vente en articles de sport et loisirs
,E1103,Communication
,E1106,Journalisme et information média
,E1107,Organisation d'évènementiel
,G1201,"Accompagnement de voyages, d'activités culturelles ou sportives"
,G1204,Éducation en activités sportives
,G1403,Gestion de structure de loisirs ou d'hébergement touristique
,J1102,Médecine généraliste et spécialisée
,J1402,Diététique
,J1404,Kinésithérapie
,K2107,Enseignement général du second degré
,L1201,Danse
,L1204,Arts du cirque et arts visuels
,L1303,Promotion d'artistes et de spectacles
,L1401,Sportif professionnel
,M1705,Marketing
,N3101,Encadrement de la navigation maritime
,,
,16,Métiers de l'ingénierie
,A1303,Ingénierie en agriculture et environnement naturel
,F1103,Contrôle et diagnostic technique du bâtiment
,F1105,Études géologiques
,F1106,Ingénierie et études du BTP
,F1107,Mesures topographiques
,F1203,Direction et ingénierie d'exploitation de gisements et de carrières
,F1204,Qualité Sécurité Environnement et protection santé du BTP
,H1101,Assistance et support technique client
,H1102,Management et ingénierie d'affaires
,H1206,"Management et ingénierie études, recherche et développement industriel"
,H1302,Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels
,H1401,Management et ingénierie gestion industrielle et logistique
,H1402,Management et ingénierie méthodes et industrialisation
,H1501,Direction de laboratoire d'analyse industrielle
,H1502,Management et ingénierie qualité industrielle
,H2502,Management et ingénierie de production
,I1101,Direction et ingénierie en entretien infrastructure et bâti
,I1102,Management et ingénierie de maintenance industrielle
,K2302,Management et inspection en environnement urbain
,M1201,Analyse et ingénierie financière
,M1802,Expertise et support en systèmes d'information
,M1804,Études et développement de réseaux de télécoms
,M1805,Études et développement informatique
,M1806,Conseil et maîtrise d'ouvrage en systèmes d'information
,M1808,Information géographique
,M1809,Information météorologique
,M1810,Production et exploitation de systèmes d'information
,N1301,Conception et organisation de la chaîne logistique
,N2102,Pilotage et navigation technique aérienne
,,
,17,Métiers accessibles sans diplôme et sans expérience
,,Agriculture
,A1401,Aide agricole de production fruitière ou viticole
,A1402,Aide agricole de production légumière ou végétale
,A1403,Aide d'élevage agricole et aquacole
,A1412,Fabrication et affinage de fromages
,A1413,Fermentation de boissons alcoolisées
,,Transport logistique
,N1101,Conduite d'engins de déplacement des charges
,N1102,Déménagement
,N1103,Magasinage et préparation de commandes
,N1104,Manoeuvre et conduite d'engins lourds de manutention
,N1105,Manutention manuelle de charges
,N2203,Exploitation des pistes aéroportuaires
,N3203,Manutention portuaire
,N4101,Conduite de transport de marchandises sur longue distance
,N4102,Conduite de transport de particuliers
,N4103,Conduite de transport en commun sur route
,N4104,Courses et livraisons express
,N4105,Conduite et livraison par tournées sur courte distance
,,"Commerce, vente et grande distribution"
,D1105,Poissonnerie
,D1205,Nettoyage d'articles textiles ou cuirs
,D1403,Relation commerciale auprès de particuliers
,D1501,Animation de vente
,D1505,Personnel de caisse
,D1507,Mise en rayon libre-service
,,"Industries graphiques, images et sons"
,E1202,Production en laboratoire cinématographique
,E1203,Production en laboratoire photographique
,E1304,Façonnage et routage
,,"Construction, bâtiment et travaux publics"
,F1704,Préparation du gros oeuvre et des travaux publics
,F1706,Préfabrication en béton industriel
,,"Hôtellerie-restauration, tourisme, loisirs"
,G1206,Personnel technique des jeux
,G1501,Personnel d'étage
,G1603,Personnel polyvalent en restauration
,G1604,Fabrication de crêpes ou pizzas
,G1605,Plonge en restauration
,G1702,Personnel du hall
,G1801,"Café, bar brasserie"
,,Industrie
,H2101,Abattage et découpe des viandes
,H2604,Montage de produits électriques et électroniques
,H2605,Montage et câblage électronique
,H2803,Façonnage et émaillage en industrie céramique
,H2905,Conduite d'équipement de formage et découpage des matériaux
,H2906,Conduite d'installation automatisée ou robotisée de fabrication mécanique
,H2909,Montage-assemblage mécanique
,H3302,"Opérations manuelles d'assemblage, tri ou emballage"
,H3303,"Préparation de matières et produits industriels (broyage, mélange, ...)"
,H3402,Conduite de traitement par dépôt de surface
,,Installation et maintenance
,I1201,Entretien d'affichage et mobilier urbain
,I1501,Intervention en grande hauteur
,,Services à la personne et à la collectivité
,K1302,Assistance auprès d'adultes
,K1303,Assistance auprès d'enfants
,K1304,Services domestiques
,K1701,Personnel de la Défense
,K2201,Blanchisserie industrielle
,K2202,Lavage de vitres
,K2204,Nettoyage de locaux
,K2303,Nettoyage des espaces urbains
,K2304,Revalorisation de produits industriels
,K2501,Gardiennage de locaux
,,Support à l'entreprise
,M1401,Conduite d'enquêtes
,M1601,Accueil et renseignements
,M1603,Distribution de documents
,M1606,Saisie de données
