Anno;ateco_UL_2007_2cifre;descriz_ateco_UL_2007_2cifre;ateco_UL_2007_5cifre;descriz_ateco_UL_2007-5cifre;N.unità locali;N.addetti_UL
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14120;Confezione di camici, divise ed altri indumenti da lavoro;25;129,8
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14131;Confezione in serie di abbigliamento esterno;400;1498,35
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14132;Sartoria e confezione su misura di abbigliamento esterno;217;460,55
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14140;Confezione di camice, T-shirt, corsetteria e altra biancheria intima;97;268,71
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14191;Confezioni varie e accessori per l'abbigliamento;196;540,68
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14192;Confezioni di abbigliamento sportivo o indumenti particolari;67;216,89
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14200;Confezione di articoli in pelliccia;106;201,65
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14310;Fabbricazione di articoli di calzetteria in maglia;10;45,98
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14390;Fabbricazione di pullover, cardigan ed altri articoli simili a maglia;90;225,85
2007;15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI;15110;"Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce";11;97,45
2007;15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI;15120;Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria;271;1596,7
2007;15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI;15201;Fabbricazione di calzature;64;375,57
2007;15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI;15202;Fabbricazione di parti in cuoio per calzature;18;67,48
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16100;Taglio e piallatura del legno;42;66,11
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16210;Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno;28;69,04
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16220;Fabbricazione di pavimenti in parquet assemblato;4;7,92
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16231;Fabbricazione di porte e finestre in legno (escluse porte blindate);50;93,92
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16232;Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia;64;143,53
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16240;Fabbricazione di imballaggi in legno;19;55,33
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16291;Fabbricazione di prodotti vari in legno (esclusi i mobili);45;74,37
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16292;Fabbricazione dei prodotti della lavorazione del sughero;1;2
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16293;Fabbricazione di articoli in paglia e materiali da intreccio;2;5,33
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16294;Laboratori di corniciai;92;131,38
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17110;Fabbricazione di pasta-carta;1;4
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17120;Fabbricazione di carta e cartone;9;95,5
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17210;Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata);23;152,36
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17220;Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa;4;41,96
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17230;Fabbricazione di prodotti cartotecnici;80;358,94
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17240;Fabbricazione di carta da parati;4;4,53
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17290;Fabbricazione di altri articoli di carta e cartone;28;175,29
2007;18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI;18110;Stampa di giornali;7;86,67
2007;18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI;18120;Altra stampa;603;2480,36
2007;18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI;18130;Lavorazioni preliminari alla stampa e ai media;300;1388,1
2007;18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI;18140;Legatoria e servizi connessi;76;287,93
2007;18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI;18200;Riproduzione di supporti registrati;54;208,07
2007;19;FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO;19201;Raffinerie di petrolio;7;278,01
2007;19;FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO;19202;Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica);9;79,9
2007;19;FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO;19203;Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento;2;262,36
2007;19;FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO;19204;Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale;3;5
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20110;Fabbricazione di gas industriali;9;151,23
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20120;Fabbricazione di coloranti e pigmenti;6;22,32
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20130;Fabbricazione di altri prodotti chimici di base inorganici;20;206,61
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20140;Fabbricazione di altri prodotti chimici di base organici;18;185,04
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20150;Fabbricazione di fertilizzanti e composti azotati, esclusa la fabbricazione di compost;3;89,85
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20160;Fabbricazione di materie plastiche in forme primarie;24;178,22
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20170;Fabbricazione di gomma sintetica in forme primarie;1;12
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20200;Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura, esclusi i concimi;9;334,38
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20300;Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici;41;1006,08
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20411;Fabbricazione di saponi, detergenti e di agenti organici tensioattivi, esclusi i prodotti per toletta;16;742,52
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20412;Fabbricazione di specialità chimiche per uso domestico e per manutenzione;6;9,98
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20420;Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili;101;1103,83
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20520;Fabbricazione di colle;4;323,57
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20530;Fabbricazione di oli essenziali;12;111,85
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20591;Fabbricazione di prodotti chimici per uso fotografico;1;1,92
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20592;Fabbricazione di prodotti chimici organici ottenuti da prodotti di base derivati da processi di fermentazione o da materie prime vegetali;9;43,04
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20593;Trattamento chimico degli acidi grassi;1;0,92
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20594;Fabbricazione di prodotti chimici vari per uso industriale (compresi i preparati antidetonanti e antigelo);59;330,74
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20595;Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non industriale;4;51,92
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20596;Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio;4;67,13
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20597;Fabbricazione di prodotti elettrochimici (esclusa produzione di cloro, soda e potassa) ed elettrotermici;2;156,87
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20599;Fabbricazione di altri prodotti chimici nca;3;38,67
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20600;Fabbricazione di fibre sintetiche e artificiali;7;82,26
2007;21;FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE E DI PREPARATI FARMACEUTICI;21100;Fabbricazione di prodotti farmaceutici di base;25;964,53
2007;21;FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE E DI PREPARATI FARMACEUTICI;21200;Fabbricazione di medicinali e preparati farmaceutici;81;7457,59
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22111;Fabbricazione di pneumatici e di camere d'aria;1;926,54
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22190;Fabbricazione di altri prodotti in gomma;42;209,28
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22210;Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche;35;211,49
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22220;Fabbricazione di imballaggi in materie plastiche;51;410,96
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22230;Fabbricazione di articoli in plastica per l'edilizia;22;87,79
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22290;Fabbricazione di altri articoli in materie plastiche;191;807,19
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23110;Fabbricazione di vetro piano;1;7,99
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23120;Lavorazione e trasformazione del vetro piano;40;136,84
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23130;Fabbricazione di vetro cavo;11;279,16
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23140;Fabbricazione di fibre di vetro;2;2
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23191;Fabbricazione di vetrerie per laboratori, per uso igienico, per farmacia;1;1
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23192;Lavorazione di vetro a mano e a soffio artistico;19;31,07
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23199;Fabbricazione di altri prodotti in vetro compresa la vetreria tecnica;13;28,14
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23200;Fabbricazione di prodotti refrattari;8;22,61
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23310;Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti;1;2,97
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23320;Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta;7;20,98
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23410;Fabbricazione di prodotti in ceramica per usi domestici e ornamentali;13;26,1
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23420;Fabbricazione di articoli sanitari in ceramica;4;11,13
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23430;Fabbricazione di isolatori e di pezzi isolanti in ceramica;1;1,05
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23440;Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale;5;24,33
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23490;Fabbricazione di altri prodotti in ceramica;3;16,83
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23510;Produzione di cemento;4;70,89
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23521;Produzione di calce;1;1
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23610;Fabbricazione di prodotti in calcestruzzo per l'edilizia;16;53
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23620;Fabbricazione di prodotti in gesso per l'edilizia;5;79,58
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23630;Produzione di calcestruzzo pronto per l'uso;12;44,93
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23640;Produzione di malta;1;3,95
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23650;Fabbricazione di prodotti in fibrocemento;1;1
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23690;Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento;5;14,92
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23701;Segagione e lavorazione delle pietre e del marmo;29;90,89
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23702;Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico;36;71,17
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23703;Frantumazione di pietre e minerali vari fuori della cava;4;5,94
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23910;Produzione di prodotti abrasivi;14;59,68
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23990;Fabbricazione di altri prodotti in minerali non metalliferi nca;25;174,59
2007;24;METALLURGIA;24100;Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe;31;239,93
2007;24;METALLURGIA;24201;Fabbricazione di tubi e condotti senza saldatura;5;17,63
2007;24;METALLURGIA;24202;Fabbricazione di tubi e condotti saldati e simili;6;79,47
2007;24;METALLURGIA;24320;Laminazione a freddo di nastri;5;65,47
2007;24;METALLURGIA;24330;Profilatura mediante formatura o piegatura a freddo;9;46,47
2007;24;METALLURGIA;24340;Trafilatura a freddo;9;189,55
2007;24;METALLURGIA;24410;Produzione di metalli preziosi e semilavorati;12;51,63
2007;24;METALLURGIA;24420;Produzione di alluminio e semilavorati;11;273,52
2007;24;METALLURGIA;24440;Produzione di rame e semilavorati;4;65,18
2007;24;METALLURGIA;24450;Produzione di altri metalli non ferrosi e semilavorati;3;6
2007;24;METALLURGIA;24510;Fusione di ghisa e produzione di tubi e raccordi in ghisa;8;72,22
2007;24;METALLURGIA;24520;Fusione di acciaio;1;0,96
2007;24;METALLURGIA;24530;Fusione di metalli leggeri;14;75,02
2007;24;METALLURGIA;24540;Fusione di altri metalli non ferrosi;12;76,81
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25110;Fabbricazione di strutture metalliche e parti assemblate di strutture;149;668,48
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25121;Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici;114;400,44
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25122;Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili;32;89,26
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25210;Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale;3;2,82
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25290;Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione;20;88,46
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25300;Fabbricazione di generatori di vapore, esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda;12;259,69
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25400;Fabbricazione di armi e munizioni;3;8,51
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25500;"Fucinatura, imbutitura, stampaggio e profilatura dei metalli; metallurgia delle polveri";45;178,06
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25610;Trattamento e rivestimento dei metalli;104;313,66
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25620;Lavori di meccanica generale;357;1171,03
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25710;Fabbricazione di articoli di coltelleria, posateria ed armi bianche;5;18,28
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25720;Fabbricazione di serrature e cerniere e ferramenta simili;7;34,75
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25731;"Fabbricazione di utensileria ad azionamento manuale; parti intercambiabili per macchine utensili";69;448,54
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25732;Fabbricazione di stampi, portastampi, sagome, forme per macchine;33;92,76
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25910;Fabbricazione di bidoni in acciaio e contenitori analoghi per il trasporto e l'imballaggio;7;30,09
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25920;Fabbricazione di imballaggi leggeri in metallo;4;34,72
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25931;Fabbricazione di prodotti fabbricati con fili metallici;23;204,98
